PROLIFIC_PID,tr_totalTime,tr_rat_mean,tr_rat_std,tr_rat_r1r2_corr_r,tr_rat_r1r2_corr_p,tr_qa:rat_%rt<300,tr_qa:rat_%rt>10000,tr_qa:rat_%Conseqs,tr_qa:rat_instruxDur,tr_qa:rat_blurEv,tr_qa:dec_%rt<300,tr_qa:dec_%rt>10000,tr_qa:dec_%Conseqs,tr_qa:dec_instruxDur,tr_qa:dec_blurEv,tr_frat_r1r2_corr_r,tr_frat_r1r2_corr_p,tr_qa:frat_%rt<300,tr_qa:frat_%rt>10000,tr_qa:frat_%Conseqs,tr_qa:frat_instruxDur,rw_totalTime,rw_qa:dec_%rt<300,rw_qa:dec_%rt>10000,rw_qa:dec_%Conseqs,rw_qa:dec_instruxDur,rw_qa:frat_%rt<300,rw_qa:frat_%rt>10000,rw_qa:frat_%Conseqs,rw_qa:frat_instruxDur,rw_qa:blurEv,subj2LR_pre,subj2LR_post,subj2p0_4prm,subj2D_4prm,subj2NLL_biasedOC,subj2LRTp_biasedOC
5f2f86864fd821374b4367bc,565.772,5.25,3.197589134205088,-0.163285545706492,0.3886011631275894,0.0,0.0,0.4,12.25,0.0,0.75,0.0,0.946969696969697,60.43,0.0,-0.2120066237423686,0.5082940638631399,0.1666666666666666,0.0,0.6666666666666666,13.94,317.618,0.7803030303030303,0.0075757575757575,0.8712121212121212,2.0,0.0,0.0,0.8333333333333334,0.6,0.0,0.6505043995069915,4.53978687024344e-05,-1.0,0.9999546021312976,337.065052760401,4.311071567120149e-40
61492ac26b91b5b11ba2c88b,631.332,4.216666666666667,2.597858744523492,0.9518484346245268,6.564740816535097e-16,0.0,0.0,0.2333333333333333,8.42,1.0,0.0,0.0,0.1969696969696969,89.2,0.0,0.5346057418960863,0.0733347127564009,0.0,0.0,0.0833333333333333,17.42,504.727,0.0,0.0,0.1590909090909091,7.36,0.0,0.0,0.0,29.62,0.0,0.2229092714327098,0.0940705689894494,-0.4944575233799643,0.4608989015331459,393.76176277564434,3.0102376992988977e-15
60234c1d5a0cf81cba76ce5d,800.233,4.833333333333333,2.6944177489115746,0.8069737469556535,7.179993937489609e-08,0.0,0.0,0.1666666666666666,13.11,0.0,0.0151515151515151,0.0,0.3560606060606061,135.66,0.0,0.4049907429405976,0.1915606025287686,0.0,0.0,0.25,15.3,1140.393,0.0,0.053030303030303,0.1590909090909091,22.99,0.0,0.3333333333333333,0.0,56.12,0.0,0.0784047603055053,0.4215593394645706,-0.1800919443443999,0.5885599860341477,418.5780939535682,0.0003802087972146
6362aca86b740b1ec4cb6efb,878.497,4.916666666666667,3.4162704744797736,-0.5318835497624039,0.0024858739880143,0.2166666666666666,0.0,0.35,32.46,2.0,0.0606060606060606,0.0,0.3181818181818182,170.04,1.0,0.3044387078366815,0.335991797308029,0.1666666666666666,0.0,0.0,26.1,635.299,0.3712121212121212,0.0075757575757575,0.2045454545454545,1.86,0.0,0.1666666666666666,0.0,65.18,4.0,0.1490680539227458,0.0377353792978302,-1.0,0.9999546021312976,330.86760391227443,8.480463815809953e-43
60fcd2b146529d02f1566012,529.8,5.383333333333334,1.949286411516864,0.6340947376931119,0.0001682292170596,0.0,0.0,0.2333333333333333,6.11,2.0,0.0833333333333333,0.0,0.5378787878787878,48.83,0.0,0.7952612628504397,0.0019861214690091,0.0,0.0,0.0833333333333333,14.07,442.68,0.0,0.0,0.3863636363636363,7.45,0.0,0.0,0.3333333333333333,24.14,0.0,0.3020106311712079,4.53978687024344e-05,-0.7390506153735737,0.9999546021312976,347.39656463883927,1.4072127169930152e-35
63ed12d2c25b08ba24fe8a41,846.621,5.25,2.0052896151623503,0.4057166639184314,0.0261195374231897,0.0,0.0166666666666666,0.1666666666666666,18.85,1.0,0.0151515151515151,0.0,0.3106060606060606,128.65,0.0,-0.3383679829706526,0.2820151080976992,0.0,0.0,0.0833333333333333,17.55,496.667,0.0,0.0,0.2196969696969697,6.32,0.0,0.0,0.3333333333333333,16.07,1.0,0.3863412326548091,0.4571766111402025,-0.0229148722097227,0.6397551228044019,379.7897192922212,2.148513041667197e-21
5d412a9013864b0015b14b31,721.525,4.683333333333334,1.5348126001287992,0.8168516045225248,3.673645149758313e-08,0.0,0.0,0.1,17.33,0.0,0.1590909090909091,0.0,0.2424242424242424,91.27,0.0,0.5555414923488222,0.0607544723019524,0.0,0.0,0.25,22.37,324.832,0.6590909090909091,0.0,0.3484848484848485,4.58,0.0,0.0,0.0,19.13,0.0,0.4261802255705903,0.0586906067962616,-1.0,0.7178912749401551,398.48227790072445,3.6580894328827573e-13
610b416fd4f5d1dcfaa28d7a,803.327,3.633333333333333,1.9481992264624015,0.46497816167166,0.0096262806058665,0.0,0.0,0.25,24.02,0.0,0.0151515151515151,0.0,0.1818181818181818,124.38,0.0,-0.0614255697248012,0.8495934126467422,0.0,0.0,0.0833333333333333,31.62,465.434,0.0,0.0,0.2424242424242424,10.85,0.0,0.0,0.1666666666666666,12.14,0.0,0.7275758187234921,0.6358905805840073,0.1770427256552916,0.4965200993805047,369.3386823418198,5.609415199260341e-26
63d9f31dba727de153019798,967.015,6.8,1.581674718535463,0.6485936158261811,0.0001059951219734,0.0,0.0,0.6333333333333333,20.42,1.0,0.4090909090909091,0.0,0.4621212121212121,28.82,0.0,0.9574749827023764,1.019625630683657e-06,0.0,0.0,0.25,33.07,336.128,0.6666666666666666,0.0,0.553030303030303,5.47,0.0,0.0,0.8333333333333334,21.47,0.0,0.3978583617736092,4.53978687024344e-05,1.0,4.53978687024344e-05,294.14884124144925,8.141574569815298e-59
620bdd8ca922fc3f247f6c82,492.374,4.783333333333333,1.7859305760859994,0.3550180997287222,0.0542133350046714,0.3333333333333333,0.0,0.0666666666666666,7.82,0.0,0.4318181818181818,0.0,0.2878787878787879,35.84,0.0,0.358302088090296,0.252775276156893,0.5833333333333334,0.0,0.1666666666666666,73.76,335.259,0.2575757575757575,0.0,0.2651515151515151,3.28,0.1666666666666666,0.0,0.1666666666666666,5.62,0.0,0.1230355060656555,0.074438814652277,-0.4140856990219814,0.6695644658955594,410.1612009082037,5.7058715005063537e-08
