PROLIFIC_PID,totalTime,subjLR_3prm,subjD_3prm,subjp0_3prm,subjNLL_3prm,subjLRTp_3prm,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur,qa:blurEv
55c694e3fdf99b6c4f28595f,369.558,0.0062547552014652,4.53978687024344e-05,1.0,43.09687271027648,1.4053675192566807e-136,0.3409090909090909,0.0,0.9924242424242424,2.09,0.0,0.0,0.0,11.84,0.0
55d86f3569dbc30012b6869f,402.148,0.0568942499656554,4.53978687024344e-05,-0.6087237952485226,26.619452027480605,4.8147850921594186e-129,0.0909090909090909,0.0,0.3409090909090909,2.0,0.0,0.0,0.1666666666666666,16.39,0.0
55e7221441988f000b75cc7a,576.794,0.0361118593626645,0.9999546021312976,0.5419421389593158,16.39788614335815,1.721718397039537e-133,0.0378787878787878,0.0,0.5909090909090909,8.32,0.0,0.0,0.1666666666666666,24.49,0.0
560ce65601c38a0012769e20,724.853,0.0359595920175495,0.9999546021312976,0.6130757378661302,8.190502219944534,4.631716422538991e-137,0.0,0.0,0.1742424242424242,18.12,0.0,0.0,0.0,32.7,0.0
56b8de29e1d0a200051517f8,412.837,0.0194621400352649,0.9999546021312976,0.173111240003256,4.576346903219204,1.240592376018536e-138,0.0,0.0,0.6893939393939394,9.92,0.0,0.0,0.1666666666666666,15.4,0.0
570fa921f895a7000f38ca6f,463.548,0.0478851711243333,4.53978687024344e-05,0.1906150325024985,-3.855761408012541,1.0616547661055428e-157,0.3484848484848485,0.0,0.553030303030303,5.12,0.0,0.0,0.0,16.57,0.0
571144323d47e800096358d9,339.781,0.0048734210487227,0.9996007140627328,0.5453073409542178,-7.952542335491017,1.7551308372007242e-159,0.4090909090909091,0.0,0.4469696969696969,5.42,0.0,0.0,0.1666666666666666,20.51,2.0
572041d6fd3a5200093c1295,311.041,0.4812256230881659,4.53978687024344e-05,1.0,-30.305111769107317,8.356125149274289e-154,0.6818181818181818,0.0,0.6515151515151515,2.0,0.0,0.0,0.1666666666666666,11.1,0.0
5722c95274e7ff0011a6f011,413.637,0.0039088326948277,4.53978687024344e-05,-0.2507369850599896,-9.921077646396428,2.4446188373150616e-160,0.1818181818181818,0.0,0.5227272727272727,2.99,0.0,0.0,0.0,21.43,0.0
5766d2f7fdff7a0001c1285b,438.005,0.0592989506638577,4.53978687024344e-05,1.0,-43.98294494046596,3.7666575036336435e-175,0.1439393939393939,0.0,0.7196969696969697,84.82,0.0,0.0,0.3333333333333333,7.82,0.0
5783d80d275be60001358349,560.421,4.53978687024344e-05,4.539794139143876e-05,0.5319702493466674,-19.70459015269698,1.3600088980996273e-164,0.0454545454545454,0.0075757575757575,0.4090909090909091,4.54,0.0,0.0,0.0,37.52,0.0
58016c9f551314000145af58,471.173,0.043784367339025,0.1642695526975706,-0.3575257395005555,-16.831424707001247,6.0544980616099416e-148,0.5909090909090909,0.0,0.5378787878787878,7.46,0.0,0.0,0.1666666666666666,21.06,2.0
580777dd827ca10001db494b,425.671,0.0665980598839162,4.53978687024344e-05,-0.3822394162251347,-22.319198005672234,2.48459543744509e-150,0.0,0.0,0.2272727272727272,4.0,0.0,0.0,0.1666666666666666,19.42,0.0
582009dd87f6b90001f13e40,380.932,0.0106662421671252,4.53978687024344e-05,-0.4605634510580606,-21.26313716153257,7.154325225294339e-150,0.4621212121212121,0.0,0.4772727272727273,6.27,0.0,0.0,0.0,16.55,0.0
594936ad4152bf0001bfd5cd,407.559,0.0138600861271487,0.9999546021312976,-0.1791966097040265,-22.777215330891423,1.5705459834977994e-150,0.0,0.0,0.3181818181818182,6.83,0.0,0.0,0.0,10.92,0.0
5971640e7ec240000170cb69,302.689,0.0159490429142151,4.53978687024344e-05,1.0,-45.37735764600208,9.324229140172519e-176,0.7272727272727273,0.0,0.8636363636363636,1.76,0.0,0.0,0.1666666666666666,12.93,0.0
59aae1188cef7d00011f8884,479.683,0.0065542000452793,4.53978687024344e-05,0.197517260285473,-25.13348216803837,5.9248989583653776e-167,0.0378787878787878,0.0,0.1363636363636363,11.9,0.0,0.0,0.0,35.75,0.0
5a2846ceb4a5de00011af418,450.729,0.0055816991404842,4.53978687024344e-05,-0.0048615716393174,-25.066141787462072,1.5868501393906412e-151,0.0075757575757575,0.0,0.1818181818181818,14.19,0.0,0.0,0.0,27.66,0.0
5a983a931ade740001b8ea50,450.144,0.0034552463087231,0.9999546021312976,0.5851760694689242,-32.22232288050341,4.898072064165897e-170,0.0227272727272727,0.0,0.4015151515151515,4.93,0.0,0.0,0.1666666666666666,25.42,1.0
5ad2c8334d061300011b1985,389.372,0.0473151297265178,4.53978687024344e-05,1.0,-66.37766020648402,6.889669405457689e-185,0.5303030303030303,0.0,0.7803030303030303,4.39,0.0,0.0,0.0,11.73,1.0
5adfcb03f6b58c0001fa9083,641.596,4.53978687024344e-05,0.9999546021312976,-0.0643373273704558,-28.52740405274216,4.956320942575049e-153,0.053030303030303,0.0,0.4015151515151515,204.61,0.0,0.0,0.3333333333333333,15.95,0.0
5b184f9768a5ed0001734190,720.175,4.53978687024344e-05,0.0007617804083895,-0.1846117507915737,-30.25824984151444,8.757615846523295e-154,0.0151515151515151,0.0,0.2196969696969697,214.37,0.0,0.0,0.5,41.08,0.0
5b1a3fa488ee7400012aef74,963.018,0.0074666298675221,4.53978687024344e-05,0.0595031625846168,-31.04063668846507,1.5991474871807976e-169,0.0,0.0303030303030303,0.3560606060606061,87.54,0.0,0.0,0.3333333333333333,44.55,0.0
5b608617208f1c000100bdeb,455.84,0.1097622155107223,4.53978687024344e-05,1.0,-73.19551308362372,7.477523649396734e-188,0.0378787878787878,0.0,0.4621212121212121,5.88,0.0,0.0,0.8333333333333334,16.71,0.0
5b65f7935c431c000127ae5f,502.21,4.53978687024344e-05,4.53978687024344e-05,-0.4471117215250183,-36.70274655327243,5.517015987106585e-172,0.0303030303030303,0.0,0.1969696969696969,4.42,0.0,0.0,0.3333333333333333,21.99,1.0
